block_type,pin_name,direction,source_doc,page
ABS,IN,I,S0014-B,12
ABS,OUT,O,S0014-B,12
ABS_STATUS,IN,I,S0014-B~ABS,12
ABS_STATUS,OUT,O,S0014-B~ABS,12
ADD,IN1,I,S0014-B,13
ADD,IN10,I,S0014-B,13
ADD,IN11,I,S0014-B,13
ADD,IN12,I,S0014-B,13
ADD,IN13,I,S0014-B,13
ADD,IN14,I,S0014-B,13
ADD,IN15,I,S0014-B,13
ADD,IN16,I,S0014-B,13
ADD,IN17,I,S0014-B,13
ADD,IN18,I,S0014-B,13
ADD,IN19,I,S0014-B,13
ADD,IN2,I,S0014-B,13
ADD,IN20,I,S0014-B,13
ADD,IN21,I,S0014-B,13
ADD,IN22,I,S0014-B,13
ADD,IN23,I,S0014-B,13
ADD,IN24,I,S0014-B,13
ADD,IN25,I,S0014-B,13
ADD,IN26,I,S0014-B,13
ADD,IN27,I,S0014-B,13
ADD,IN28,I,S0014-B,13
ADD,IN29,I,S0014-B,13
ADD,IN3,I,S0014-B,13
ADD,IN30,I,S0014-B,13
ADD,IN31,I,S0014-B,13
ADD,IN32,I,S0014-B,13
ADD,IN4,I,S0014-B,13
ADD,IN5,I,S0014-B,13
ADD,IN6,I,S0014-B,13
ADD,IN7,I,S0014-B,13
ADD,IN8,I,S0014-B,13
ADD,IN9,I,S0014-B,13
ADD,OUT,O,S0014-B,13
ADD_STATUS,IN1,I,S0014-B~ADD,13
ADD_STATUS,IN10,I,S0014-B~ADD,13
ADD_STATUS,IN11,I,S0014-B~ADD,13
ADD_STATUS,IN12,I,S0014-B~ADD,13
ADD_STATUS,IN13,I,S0014-B~ADD,13
ADD_STATUS,IN14,I,S0014-B~ADD,13
ADD_STATUS,IN15,I,S0014-B~ADD,13
ADD_STATUS,IN16,I,S0014-B~ADD,13
ADD_STATUS,IN17,I,S0014-B~ADD,13
ADD_STATUS,IN18,I,S0014-B~ADD,13
ADD_STATUS,IN19,I,S0014-B~ADD,13
ADD_STATUS,IN2,I,S0014-B~ADD,13
ADD_STATUS,IN20,I,S0014-B~ADD,13
ADD_STATUS,IN21,I,S0014-B~ADD,13
ADD_STATUS,IN22,I,S0014-B~ADD,13
ADD_STATUS,IN23,I,S0014-B~ADD,13
ADD_STATUS,IN24,I,S0014-B~ADD,13
ADD_STATUS,IN25,I,S0014-B~ADD,13
ADD_STATUS,IN26,I,S0014-B~ADD,13
ADD_STATUS,IN27,I,S0014-B~ADD,13
ADD_STATUS,IN28,I,S0014-B~ADD,13
ADD_STATUS,IN29,I,S0014-B~ADD,13
ADD_STATUS,IN3,I,S0014-B~ADD,13
ADD_STATUS,IN30,I,S0014-B~ADD,13
ADD_STATUS,IN31,I,S0014-B~ADD,13
ADD_STATUS,IN32,I,S0014-B~ADD,13
ADD_STATUS,IN4,I,S0014-B~ADD,13
ADD_STATUS,IN5,I,S0014-B~ADD,13
ADD_STATUS,IN6,I,S0014-B~ADD,13
ADD_STATUS,IN7,I,S0014-B~ADD,13
ADD_STATUS,IN8,I,S0014-B~ADD,13
ADD_STATUS,IN9,I,S0014-B~ADD,13
ADD_STATUS,OUT,O,S0014-B~ADD,13
AI,AI_TYPE,I,GEI-100679,9
AI,BAD_QLTY_DLY,I,S0010-0,13
AI,EU_MAX,I,S0010-0,13
AI,EU_MIN,I,S0010-0,13
AI,IN,I,S0010-0,13
AI,IN_H_SCL,I,S0010-0,13
AI,IN_LCO,I,S0010-0,13
AI,IN_L_SCL,I,S0010-0,13
AI,OUT,O,GEI-100679,9
AI,PROC_LIM,I,S0010-0,13
AI,PROC_MAX,I,S0010-0,13
AI,PROC_MIN,I,S0010-0,13
AI,QLTY_DLY,I,S0010-0,13
AI,TC,I,S0010-0,13
ANALOG_ALARM,BQ,O,S0014-B,25
ANALOG_ALARM,DH,O,S0014-B,25
ANALOG_ALARM,DH_C,I,S0014-B,26
ANALOG_ALARM,DH_SP,I,S0014-B,26
ANALOG_ALARM,DH_T,I,S0014-B,26
ANALOG_ALARM,DH_Y,I,S0014-B,26
ANALOG_ALARM,H,O,S0014-B,25
ANALOG_ALARM,HH,O,S0014-B,25
ANALOG_ALARM,HHH,O,S0014-B,25
ANALOG_ALARM,HHH_SP,I,S0014-B,26
ANALOG_ALARM,HHH_T,I,S0014-B,26
ANALOG_ALARM,HH_SP,I,S0014-B,26
ANALOG_ALARM,HH_T,I,S0014-B,26
ANALOG_ALARM,HYST,I,S0014-B,26
ANALOG_ALARM,H_SP,I,S0014-B,26
ANALOG_ALARM,H_T,I,S0014-B,26
ANALOG_ALARM,IN,I,S0014-B,25
ANALOG_ALARM,INH,I,S0014-B,25
ANALOG_ALARM,L,O,S0014-B,25
ANALOG_ALARM,LL,O,S0014-B,25
ANALOG_ALARM,LLL,O,S0014-B,25
ANALOG_ALARM,LLL_SP,I,S0014-B,26
ANALOG_ALARM,LLL_T,I,S0014-B,26
ANALOG_ALARM,LL_SP,I,S0014-B,26
ANALOG_ALARM,LL_T,I,S0014-B,26
ANALOG_ALARM,L_SP,I,S0014-B,26
ANALOG_ALARM,L_T,I,S0014-B,26
ANALOG_ALARM,RH,O,S0014-B,25
ANALOG_ALARM,RH_SP,I,S0014-B,26
ANALOG_ALARM,RH_T,I,S0014-B,26
ANALOG_ALARM,RH_Y,I,S0014-B,26
ANALOG_ALARM,Unshelve,I,S0014-B,25
